0;111;178;0
0;111;178;1
0;111;178;2
0;111;178;3
0;111;178;4
0;111;178;5
8;111;178;6
8;111;178;7
8;111;178;8
17;111;178;9
17;111;178;10
24;111;178;11
27;111;178;12
31;113;178;13
34;115;178;14
37;115;178;15
40;115;178;16
40;115;178;17
43;115;178;18
43;115;178;19
43;115;178;20
46;113;178;21
46;113;178;22
46;113;178;23
49;113;178;24
53;113;178;25
56;113;178;26
56;114;178;27
59;116;178;28
63;121;178;29
63;125;178;30
69;126;178;31
72;128;178;32
75;129;178;33
75;131;178;34
81;131;178;35
84;133;178;36
87;134;178;37
90;134;178;38
93;134;178;39
96;136;178;40
99;136;178;41
102;137;178;42
105;137;178;43
108;139;178;44
111;139;178;45
114;141;178;46
116;141;178;47
119;141;178;48
122;142;178;49
125;142;178;50
129;142;178;51
133;143;178;52
137;143;178;53
137;144;178;54
144;145;178;55
147;145;178;56
149;145;178;57
151;149;178;58
154;149;178;59
156;147;178;60
160;147;178;61
164;147;178;62
168;148;178;63
171;148;178;64
175;147;178;65
178;147;178;66
178;147;178;67
178;149;178;68
190;149;178;69
194;148;178;70
197;148;178;71
201;149;178;72
205;149;178;73
209;148;178;74
212;148;178;75
216;150;178;76
219;151;178;77
222;151;178;78
225;152;178;79
229;151;178;80
233;150;178;81
236;151;178;82
239;151;178;83
242;152;178;84
244;153;178;85
247;151;178;86
250;151;178;87
253;151;178;88
257;150;178;89
260;151;178;90
264;151;178;91
267;150;178;92
271;149;178;93
275;150;178;94
279;150;178;95
282;150;178;96
286;149;178;97
289;148;178;98
292;148;178;99
292;148;178;100
299;147;178;101
302;147;178;102
305;147;178;103
309;148;178;104
312;147;178;105
312;148;178;106
319;148;178;107
323;148;178;108
326;149;178;109
330;150;178;110
333;149;178;111
337;149;178;112
337;149;178;113
344;150;178;114
347;152;178;115
350;152;178;116
353;153;178;117
356;153;178;118
359;153;178;119
361;155;178;120
361;155;178;121
366;155;178;122
369;155;178;123
371;155;178;124
371;154;178;125
375;154;178;126
375;154;178;127
379;155;178;128
382;155;178;129
386;155;178;130
390;155;178;131
394;154;178;132
398;155;178;133
401;153;178;134
405;155;178;135
409;155;178;136
413;156;178;137
418;156;178;138
422;157;178;139
425;158;178;140
428;158;178;141
431;158;178;142
435;157;178;143
439;155;178;144
443;153;178;145
447;153;178;146
451;153;178;147
455;154;178;148
459;154;178;149
462;155;178;150
466;160;178;151
470;160;178;152
473;161;178;153
477;161;178;154
480;163;178;155
483;165;178;156
486;165;178;157
489;167;178;158
492;167;178;159
496;170;178;160
499;170;178;161
502;170;178;162
505;170;178;163
509;170;178;164
512;169;178;165
515;169;178;166
518;169;178;167
521;167;178;168
525;169;178;169
529;171;178;170
534;172;178;171
538;172;178;172
542;171;178;173
545;169;178;174
548;170;178;175
551;170;178;176
555;170;178;177
559;169;178;178
